1 (M): MWT 75 CIA B3 (10, H2Hn)
1 (M): CIA B3 MWT 75 (10, H2Hn)
2 (ML): PCE D4 CIA E2 (9, H2Hn)
2 (ML): CIA E2 PCE D4 (9, H2Hn)
3 (S): PCE A9 SEG D25 (7, H2Hn)
3 (S): SEG D25 PCE A9 (7, H2Hn)
4 (S): PCE A8 VDA 16 (8, H2Hn)
4 (S): VDA 16 PCE A8 (8, H2Hn)
5 (S): LAR 22 CIA C11 (5, H2He)
5 (S): CIA C11 LAR 22 (5, H2He)
6 (S): VDA 31 CIA C10 (5, H2He)
6 (S): CIA C10 VDA 31 (5, H2He)
101 (ML): CIA E2 MBI 5 (17, H2Nn)
101 (ML): MBI 5 CIA E2 (17, H2Nn)
102 (XS): CIA C14 TOU 5 (11, H2Nn)
102 (XS): TOU 5 CIA C14 (11, H2Nn)
103 (S): CIA C9 RIV 6 (8, H2Nn)
103 (S): RIV 6 CIA C9 (8, H2Nn)
104 (S): CIA C9 CYR C9 (7, H2Nn)
104 (S): CYR C9 CIA C9 (7, H2Nn)
105 (XS): CIA C14 KEK 101 (7, H2Nn)
105 (XS): KEK 101 CIA C14 (7, H2Nn)
106 (XS): CIA C14 MWK 3 (7, H2Nn)
106 (XS): MWK 3 CIA C14 (7, H2Nn)
107 (XS): CIA C14 LBX B4 (8, H2Nn)
107 (XS): LBX B4 CIA C14 (8, H2Nn)
108 (ML): CIA E2 TBI 4 (7, H2Nn)
108 (ML): TBI 4 CIA E2 (7, H2Nn)
109 (ML): CIA E2 SAN A4 (7, H2Nn)
109 (ML): SAN A4 CIA E2 (7, H2Nn)
110 (ML): CIA E1 KTI B3 (7, H2Nn)
110 (ML): KTI B3 CIA E1 (7, H2Nn)
111 (ML): CIA E1 IXM C27 (7, H2Nn)
111 (ML): IXM C27 CIA E1 (7, H2Nn)
112 (ML): CIA E1 EEA 20 (7, H2Nn)
112 (ML): EEA 20 CIA E1 (7, H2Nn)
113 (MS): CIA B4 WZA B6 (7, H2Nn)
113 (MS): WZA B6 CIA B4 (7, H2Nn)
114 (M): CIA B3 CHB 32 (7, H2Nn)
114 (M): CHB 32 CIA B3 (7, H2Nn)
115 (ML): CIA E1 BVL B16 (7, H2Nn)
115 (ML): BVL B16 CIA E1 (7, H2Nn)
116 (ML): CIA A2 ABG I4 (7, H2Nn)
116 (ML): ABG I4 CIA A2 (7, H2Nn)
117 (ML): CIA A2 WHT B12 (7, H2Nn)
117 (ML): WHT B12 CIA A2 (7, H2Nn)
118 (S): CIA C9 NPS 1 (3, H2Nn)
118 (S): NPS 1 CIA C9 (3, H2Nn)
119 (S): CIA C9 ABN E1 (4, H2Nn)
119 (S): ABN E1 CIA C9 (4, H2Nn)
120 (S): CIA C8 WIN 7 (5, H2Nn)
120 (S): WIN 7 CIA C8 (5, H2Nn)
121 (S): CIA C8 YST 10 (5, H2Nn)
121 (S): YST 10 CIA C8 (5, H2Nn)
122 (S): CIA C8 MFM 4 (5, H2Nn)
122 (S): MFM 4 CIA C8 (5, H2Nn)
123 (S): CIA C8 ARD 3 (4, H2Nn)
123 (S): ARD 3 CIA C8 (4, H2Nn)
124 (S): CIA C7 YNW B2 (5, H2Nn)
124 (S): YNW B2 CIA C7 (5, H2Nn)
125 (S): CIA C7 DBI 30 (4, H2Nn)
125 (S): DBI 30 CIA C7 (4, H2Nn)
126 (S): CIA C7 ZRZ 2 (5, H2Nn)
126 (S): ZRZ 2 CIA C7 (5, H2Nn)
127 (S): CIA C7 TSN 1 (5, H2Nn)
127 (S): TSN 1 CIA C7 (5, H2Nn)
128 (S): CIA C6 SSR A5 (5, H2Nn)
128 (S): SSR A5 CIA C6 (5, H2Nn)
129 (S): CIA C6 RVA R9 (5, H2Nn)
129 (S): RVA R9 CIA C6 (5, H2Nn)
130 (S): CIA C6 PMA 2 (4, H2Nn)
130 (S): PMA 2 CIA C6 (4, H2Nn)
131 (S): CIA C6 PIA A7 (4, H2Nn)
131 (S): PIA A7 CIA C6 (4, H2Nn)
132 (S): CIA C5 OPA B23 (5, H2Nn)
132 (S): OPA B23 CIA C5 (5, H2Nn)
133 (S): CIA C5 NGY B5 (5, H2Nn)
133 (S): NGY B5 CIA C5 (5, H2Nn)
134 (S): CIA C5 MPI A7 (5, H2Nn)
134 (S): MPI A7 CIA C5 (5, H2Nn)
135 (S): CIA C5 LFA B2 (5, H2Nn)
135 (S): LFA B2 CIA C5 (5, H2Nn)
136 (S): CIA C13 HGW 2 (5, H2Nn)
136 (S): HGW 2 CIA C13 (5, H2Nn)
137 (S): CIA C13 GSM 7 (5, H2Nn)
137 (S): GSM 7 CIA C13 (5, H2Nn)
138 (S): CIA C13 GBE 4 (5, H2Nn)
138 (S): GBE 4 CIA C13 (5, H2Nn)
139 (S): CIA C13 EBI E3 (5, H2Nn)
139 (S): EBI E3 CIA C13 (5, H2Nn)
140 (S): CIA C12 CWB 6 (5, H2Nn)
140 (S): CWB 6 CIA C12 (5, H2Nn)
141 (S): CIA C12 CAL B4 (5, H2Nn)
141 (S): CAL B4 CIA C12 (5, H2Nn)
142 (S): CIA C12 ANA 20 (5, H2Nn)
142 (S): ANA 20 CIA C12 (5, H2Nn)
143 (S): CIA C12 AIS 5 (5, H2Nn)
143 (S): AIS 5 CIA C12 (5, H2Nn)
144 (S): CIA C11 AFK B11 (5, H2Nn)
144 (S): AFK B11 CIA C11 (5, H2Nn)
145 (S): CIA C11 ACA 4 (5, H2Nn)
145 (S): ACA 4 CIA C11 (5, H2Nn)
146 (S): CIA C11 IAS A5 (5, H2Nn)
146 (S): IAS A5 CIA C11 (5, H2Nn)
147 (S): CIA C10 GSA 3 (5, H2Nn)
147 (S): GSA 3 CIA C10 (5, H2Nn)
